10_270614|011 ESTATUTO de Gobierno del Distrito Federal DOF 26/07/1994 DOF 27/06/2014
105|142 LEY Federal de Correduría Pública DOF 29/12/1992 DOF 09/04/2012
109|148 LEY Federal de Juegos y Sorteos DOF 31/12/1947 Sin reforma
124|172 LEY Federal del Mar DOF 08/01/1986 Sin reforma
136_300118|146 LEY Federal de Deuda Pública (Antes "Ley General de Deuda Pública" ) DOF 31/12/1976 DOF 30/01/2018
157|255 LEY Orgánica de la Universidad Autónoma Metropolitana DOF 17/12/1973 Sin reforma
158|256 LEY Orgánica de la Universidad Nacional Autónoma de México DOF 06/01/1945 Sin reforma
159|257 LEY Orgánica de los Tribunales Agrarios DOF 26/02/1992 DOF 23/01/1998
162|258 LEY Orgánica de Nacional Financiera DOF 26/12/1986 DOF 10/01/2014
164_190719|260 LEY Orgánica del Banco del Bienestar (Antes "Ley Orgánica del Banco del Ahorro Nacional y Servicios Financieros" ) DOF 01/06/2001 DOF 19/07/2019
167|263 LEY Orgánica del Banco Nacional del Ejército, Fuerza Aérea y Armada DOF 13/01/1986 DOF 10/01/2014
170_171215|267 LEY Orgánica del Instituto Nacional de Antropología e Historia DOF 03/02/1939 DOF 17/12/2015
171|268 LEY Orgánica del Instituto Politécnico Nacional DOF 29/12/1981 Sin reforma
176_210618|272 LEY para Conservar la Neutralidad del País DOF 10/11/1939 DOF 21/06/2018
177|275 LEY para el Diálogo, la Conciliación y la Paz Digna en Chiapas DOF 11/03/1995 Sin reforma
187_291214|287 LEY que Aprueba la Adhesión de México al Convenio Constitutivo del Banco de Desarrollo del Caribe y su Ejecución DOF 05/01/1982 DOF 29/12/2014
19|020 LEY de Amnistía DOF 22/01/1994 Sin reforma
192|288 LEY que Crea el Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura DOF 31/12/1954 DOF 09/04/2012
193_171215|289 LEY que crea el Instituto Nacional de Bellas Artes y Literatura DOF 31/12/1946 DOF 17/12/2015
195|291 LEY que crea la Universidad Autónoma Chapingo DOF 30/12/1974 DOF 30/12/1977
196|292 LEY que Crea la Universidad del Ejército y Fuerza Aérea DOF 29/12/1975 Sin reforma
197|293 LEY que Declara Reservas Mineras Nacionales los Yacimientos de Uranio, Torio y las demás Substancias de las cuales se Obtengan Isótopos Hendibles que puedan Producir Energía Nuclear DOF 26/01/1950
